Attribute ID	Display name de_DE
67	Aufnahmemedium
119	Energieeffizienzklasse
103	Reaktionszeit
168	Prozessor-Modell
31	Gitterfarbe
35	advertising
106	Unterstützte Konsole
88	New Article
127	Produktionsjahr
158	Minimale Temperatur
3	Filtersystem
77	Auszugsystem
34	Grafikchipsatz-Hersteller
50	Grafikkarte
230	Bildschirmform
17	Temperaturregulierung
63	Länge
228	Passend für Modell
85	Datenrate
126	Integrierter Speicher
153	Altersfreigabe (FSK)
211	Bauform
152	Bilddiagonale (Zoll)
56	Anschluss (zu Computer)
174	Eingangsspannung
167	Kabelaufwicklung
73	Farbe Kamin
65	Unterstützte Länder/Regionen
28	Bildschirmdiagonale (Zoll)
76	Displaydiagonale (Zoll)
222	Bluetooth
78	Druckvolumen (monatlich)
225	Energieverbrauch (Betrieb)
109	Steckmaß (Zoll)
70	Kategorie/Sachgebiet
114	Prozessortyp
198	Maximale Auflösung
75	Farbe Unterboden
221	Speicherkartenformate
6	Sensor-Auflösung
101	genre
229	Passend für Hersteller
69	Aufnahmeformate
42	Luftumwälzung
216	Klimaklasse
142	Infodisplay
7	Typ
49	verwendetes Audio-Dateiformat
150	Kochfeldmaterial
68	Kompatible Betriebssysteme
1	Optischer Zoom
138	Kühlungsart
22	Vorhandene Steckplätze
90	Rührschüssel-Kapazität
80	Lautsprechersystem
192	Senderspeicher
231	Bauart
8	LED-Technologie
5	Füllmenge
40	Eingebaute Decoder
120	7.1 Decoder
133	Wasserverbrauch Waschen (volle Waschladung)
196	Label
29	Videoauflösung
74	Farbe Oberboden
132	Aktionsradius
86	Anzahl Bürstenköpfe
232	Tonformat
21	HD Aufnahmeformat
20	Hostschnittstelle
162	Mindestabstand (Makro)
66	konstante Dampfmenge
107	Füllmenge Wassertank
195	Drucktechnologie
79	Altersfreigabe (USK)
173	Komponist
45	Filtermethode
14	Festplattentyp
23	Video System
39	Anzahl Aufsätze
183	Auflösung
166	Prozessor-Marke
160	Anzahl Telefonbucheinträge
235	geeignete Systeme
170	Betriebssystem
41	Gewicht
121	Gerätetyp
53	Hersteller
87	Reinigungstechnik
184	Unterstützte Flash-Speicherkarten
202	Tracklist
122	Durchschnittl. Jährl. Energie-/Wasserverbrauch
130	Soundkarte
10	Farbtiefe
163	Anzahl Kochfelder
206	Festplattenschnittstelle
30	Genre 2
169	Projektionstechnik
110	title
115	Nutzinhalte der Kühlfächer
32	System
123	Inhalt Bohnenbehälter
136	Geräteart
16	Fassungsvermögen
129	Arbeitsspeicher-Größe
147	Wiedergabeformate
57	Produktname
18	Wasserdicht bis
190	Displaytyp
200	Material
111	Spielzeit
83	Effektive Auflösung
94	geeignete Speicherkarten
61	Jährlicher Wasserverbrauch
15	group_id
134	Füllmenge (Trocknen) „Bauwolle 60°C“ schranktrocken
171	Aktive Bildfläche
185	Altersfreigabe (PEGi)
0	Laufwerk
43	Speicherkapazität
191	Formfaktor (Zoll)
19	Grafik-Taktfrequenz
155	Wasserverbrauch
51	Schallleistung Waschen
137	Speichermedium
217	Maximale Übertragungsgeschwindigkeit
71	Scangeschwindigkeit
82	Leistung Lautsprecher
193	Webcode
36	Speicherkartentyp
219	Höhe
224	Power consumption (stand-by)
143	Oberflächenmaterial
177	Leistung Grill
59	Öl-Füllmenge
187	Prozessor-Taktfrequenz
149	Anzahl Tassen
141	Kontrastverhältnis
161	Milchaufschäumer
112	Prozessorgeschwindigkeit
154	Kochfeld-Typ
233	Schlagworte
124	Füllmenge Baumwolle (Trocknen)
204	Klangeffekte
52	Anschlüsse
179	Datenträger
89	Sensor-Typ
164	Maximale Temperatur
237	Reihe
48	Strahlungsarm
62	artist
113	Nutzinhalte der Gefrierfächer
209	Trommelvolumen
172	Schallleistung
236	kompatibel mit System
159	Kamera Aufnahmeauflösung
199	Pumpendruck
64	Zeitschaltuhr (Timer)
46	Anzahl enthaltener Mobilteile
165	Maximale Pixel
135	Füllmenge (Waschen) „Bauwolle 60°C“ ohne Trockner
182	Bildschirmdiagonale
108	Garraum-Volumen
213	Energieverbrauch
197	Beschichtung
4	Integriertes Reinigungssystem
118	Touchscreen-Typ
25	Gefrierkapazität
125	Füllmenge Baumwolle (Waschen)
13	Festplattenkapazität
208	Controllertyp
27	Geeignete Kaffeeart
2	unterstützte Audioformate
201	Plattform
12	Farbe
97	Gebläsestufen
117	LCD Technologie
139	Übertragungsrate
205	Empfangsarten
157	Anzahl Wege
180	Haben alle eine eindeutige ID? (cm)
102	Genre
47	Interpret
234	geeignet für
60	Effektive Fotoauflösung
95	Passend für
146	Luftstrom
54	Geschwindigkeit Überschreiben
218	Breite
93	Audio/ Videoausgang
9	Leistung Heißluft
176	Maximale Speicherkartenkapazität
210	Beladung
96	Anzahl Flaschen zur Lagerung
214	Nischenhöhe minimal
131	Kartenmaterial
181	Anzahl Maßgedecke
11	Maximale Schleuderdrehzahl
226	Energieverbrauch (Stand-by)
37	Steckplatz
58	Leistung
212	tag
100	Wechselobjektivfassung
116	Füllmenge Fritierkorb
26	pegi
44	Anzahl Ethernet Ports
207	USB Anschluss
151	Bildwiederholungsrate
194	publisher
105	LTE
92	Erscheinungsdatum
178	Bildstabilisator
175	Maximale Blende
98	Jährlicher Energieverbrauch
186	Prozessor
189	Displaydiagonale (cm)
128	Besondere Merkmale
140	Internetfunktionen
72	Farbe AV-Fächer
91	Audioausgänge
223	Power consumption (operation)
188	Prozessor-Nummer
144	Kühlleistung in BTU/h
81	Min. Aufnahmeabstand
215	Sternekennzeichnung
156	Fassungsvermögen Wassertank
38	Staubbehälter
148	Waschwirkungsklasse
99	Ausgangsleistung (Maximal)
227	RAM type
84	energyefficiencyclass
203	Bildqualität
55	Anschluss für
145	Signalübertragung
33	categoryname
104	Unterstützte Betriebssysteme
24	Videoformate
220	Tiefe
