Feature ID	Attribute ID
featurePRODFEAT11849	boolean_search_features
featurePRODFEAT10757	boolean_search_features
featurePRODFEAT10517	boolean_search_features
featurePRODFEAT11606	boolean_search_features
featurePRODFEAT11848	boolean_search_features
featurePRODFEAT10516	boolean_search_features
featurePRODFEAT11605	boolean_search_features
featurePRODFEAT10753	boolean_search_features
featurePRODFEAT10755	boolean_search_features
featurePRODFEAT11844	boolean_search_features
featurePRODFEAT10991	boolean_search_features
featurePRODFEAT10751	boolean_search_features
featurePRODFEAT11840	boolean_search_features
featurePRODFEAT10750	boolean_search_features
featurePRODFEAT11839	boolean_search_features
featurePRODFEAT10746	boolean_search_features
featurePRODFEAT11835	boolean_search_features
featurePRODFEAT10745	boolean_search_features
featurePRODFEAT10747	boolean_search_features
featurePRODFEAT11836	boolean_search_features
featurePRODFEAT10742	boolean_search_features
featurePRODFEAT10741	boolean_search_features
featurePRODFEAT10983	boolean_search_features
featurePRODFEAT11830	boolean_search_features
featurePRODFEAT10744	boolean_search_features
featurePRODFEAT11833	boolean_search_features
featurePRODFEAT10501	boolean_search_features
featurePRODFEAT10537	boolean_search_features
featurePRODFEAT10778	boolean_search_features
featurePRODFEAT12957	boolean_search_features
featurePRODFEAT12712	boolean_search_features
featurePRODFEAT11624	boolean_search_features
featurePRODFEAT11866	boolean_search_features
featurePRODFEAT11623	boolean_search_features
featurePRODFEAT11860	boolean_search_features
featurePRODFEAT10531	boolean_search_features
featurePRODFEAT10526	boolean_search_features
featurePRODFEAT11617	boolean_search_features
featurePRODFEAT11859	boolean_search_features
featurePRODFEAT11858	boolean_search_features
featurePRODFEAT12946	boolean_search_features
featurePRODFEAT11611	boolean_search_features
featurePRODFEAT12702	boolean_search_features
featurePRODFEAT11612	boolean_search_features
featurePRODFEAT10760	boolean_search_features
featurePRODFEAT11647	boolean_search_features
featurePRODFEAT14914	boolean_search_features
featurePRODFEAT13826	boolean_search_features
featurePRODFEAT14913	boolean_search_features
featurePRODFEAT11886	boolean_search_features
featurePRODFEAT11885	boolean_search_features
featurePRODFEAT14910	boolean_search_features
featurePRODFEAT11645	boolean_search_features
featurePRODFEAT13822	boolean_search_features
featurePRODFEAT10551	boolean_search_features
featurePRODFEAT10793	boolean_search_features
featurePRODFEAT10311	boolean_search_features
featurePRODFEAT10552	boolean_search_features
featurePRODFEAT12727	boolean_search_features
featurePRODFEAT12969	boolean_search_features
featurePRODFEAT11879	boolean_search_features
featurePRODFEAT10786	boolean_search_features
featurePRODFEAT10785	boolean_search_features
featurePRODFEAT10546	boolean_search_features
featurePRODFEAT10545	boolean_search_features
featurePRODFEAT10787	boolean_search_features
featurePRODFEAT11876	boolean_search_features
featurePRODFEAT11870	boolean_search_features
featurePRODFEAT11631	boolean_search_features
featurePRODFEAT11873	boolean_search_features
featurePRODFEAT11428	boolean_search_features
featurePRODFEAT11427	boolean_search_features
featurePRODFEAT14938	boolean_search_features
